sales_id,week_ending_date,store_id,product_category,gross_sales,discount_amount,net_sales,sales_target,returns_amount,transactions_count,footfall,inventory_on_hand,stockout_events
SLS1001,2026-05-03,STR001,Apparel & Fashion,"$28,500.00","$2,850.00",,24000,$1520,380,2400,450,1
SLS1002,2026-05-03,STR001,Electronics & Tech,42100.00,2105.00,39995.00,38000,3400.00,210,1850,120,4
SLS1003,2026-05-03,STR001,Home & Living,18400,1840,,18000,920,195,1500,680,0
SLS1004,2026-05-03,STR001,Footwear,15200,760,14440,15000,1216,220,1650,210,2
SLS1005,2026-05-03,STR001,Beauty & Personal Care,"$12,100.00",605.00,11495.00,11000,363,290,1900,850,0
SLS1006,2026-05-03,STR001,Groceries & Gourmet,9800.00,196.00,9604.00,9000,147,410,2800,1100,0
SLS1007,05/10/2026,STR002,Apparel & Fashion,14200,1420,12780,16000,1136,190,1400,180,3
SLS1008,05/10/2026,STR002,Electronics & Tech,"$22,000.00","$1,100.00",,22000,1870,115,950,45,7
SLS1009,05/10/2026,STR002,Home & Living,9500,475,9025,10000,427,110,820,310,1
SLS1010,05/10/2026,STR002,Footwear,8800,440,8360,9000,704,130,900,95,5
SLS1011,05/10/2026,STR002,Beauty & Personal Care,7600,228,7372,7000,228,180,1100,420,0
SLS1012,05/10/2026,STR002,Groceries & Gourmet,6400,128,6272,6000,96,260,1500,580,0
SLS1013,2026/05/17,STR003,Apparel & Fashion,31000,3100,27900,26000,1860,420,2600,520,0
SLS1014,2026/05/17,STR003,Electronics & Tech,48000,3360,44640,42000,4320,240,2100,160,3
SLS1015,2026/05/17,STR003,Home & Living,21000,1050,19950,20000,840,210,1600,740,0
SLS1016,2026/05/17,STR003,Footwear,17500,875,16625,16000,1575,250,1800,280,1
SLS1017,2026/05/17,STR003,Beauty & Personal Care,14000,420,13580,12000,420,330,2100,910,0
SLS1018,2026/05/17,STR003,Groceries & Gourmet,11000,220,10780,10000,165,450,3000,1250,0
SLS1019,24-May-2026,STR004,Apparel & Fashion,36000,5400,,32000,2160,480,3100,390,2
SLS1020,24-May-2026,STR004,Electronics & Tech,"$55,000.00","$3,850.00",51150.00,50000,5225,275,2400,80,9
